사업장명,상세영업상태명,소재지전체주소,도로명전체주소,도로명우편번호,업종구분소분류,도,시,로
에코랜드스타트하우스,영업,제주특별자치도 제주시 조천읍 대흘리 1221-1번지,제주특별자치도 제주시 조천읍 번영로 1278-169,63346.0,기타,제주특별자치도,제주시,조천읍
고기진심,영업,제주특별자치도 제주시 일도이동 158-29,"제주특별자치도 제주시 고마로9길 15, 1층 (일도이동)",63252.0,분식,제주특별자치도,제주시,고마로9길
곽지바다,영업,제주특별자치도 제주시 애월읍 곽지리 1581-22번지,"제주특별자치도 제주시 애월읍 곽지1길 18, 1층 제2호",63034.0,까페,제주특별자치도,제주시,애월읍
푸른바당돼지,영업,제주특별자치도 제주시 화북일동 1966-7번지,"제주특별자치도 제주시 진동로5길 28, 1층 (화북일동)",63289.0,식육(숯불구이),제주특별자치도,제주시,진동로5길
뱃도새기함덕점,영업,제주특별자치도 제주시 조천읍 함덕리 4156-2,제주특별자치도 제주시 조천읍 함와로 7,63333.0,한식,제주특별자치도,제주시,조천읍
도남막창,영업,제주특별자치도 제주시 도남동 915-25,제주특별자치도 제주시 도남로 17 (도남동),63200.0,한식,제주특별자치도,제주시,도남로
대박왕갈비연동점,영업,제주특별자치도 제주시 연동 280-72,제주특별자치도 제주시 신광로1길 13 (연동),63118.0,패스트푸드,제주특별자치도,제주시,신광로1길
태백아놀자,영업,제주특별자치도 제주시 일도이동 50-13번지,"제주특별자치도 제주시 연수로4길 1, 지하1층 (일도이동)",63258.0,까페,제주특별자치도,제주시,연수로4길
유니호텔구내뷔페,영업,제주특별자치도 제주시 애월읍 구엄리 1216번지,"제주특별자치도 제주시 애월읍 애월해안로 656, 1층",63049.0,뷔페식,제주특별자치도,제주시,애월읍
산아,영업,제주특별자치도 제주시 이도이동 2002-13번지,"제주특별자치도 제주시 구남로6길 19, 1층 (이도이동)",63232.0,한식,제주특별자치도,제주시,구남로6길
미풍해장국광령점,영업,제주특별자치도 제주시 애월읍 광령리 57-1,"제주특별자치도 제주시 애월읍 광성로 331, 1층",63062.0,한식,제주특별자치도,제주시,애월읍
신신식당,영업,제주특별자치도 제주시 연동 270-2,"제주특별자치도 제주시 도령로 124, 지하1층 (연동)",63118.0,경양식,제주특별자치도,제주시,도령로
춘리마라탕제주시청점,영업,제주특별자치도 제주시 이도이동 1185-2,"제주특별자치도 제주시 광양14길 1, 1층 (이도이동)",63207.0,분식,제주특별자치도,제주시,광양14길
고가촌,영업,제주특별자치도 제주시 일도이동 413-17번지,"제주특별자치도 제주시 가령골길 24, 1층 (일도이동)",63275.0,한식,제주특별자치도,제주시,가령골길
육고깃집,영업,제주특별자치도 제주시 한림읍 한림리 942-7,"제주특별자치도 제주시 한림읍 한림중앙로 34, 1층",63032.0,한식,제주특별자치도,제주시,한림읍
교촌치킨삼양화북점,영업,제주특별자치도 제주시 화북일동 1023-2,제주특별자치도 제주시 화삼북로2길 32 (화북일동),63303.0,통닭(치킨),제주특별자치도,제주시,화삼북로2길
노상치킨제주점,영업,제주특별자치도 제주시 일도이동 62-5,제주특별자치도 제주시 연삼로 539 (일도이동),63259.0,한식,제주특별자치도,제주시,연삼로
한나스토리,영업,제주특별자치도 제주시 이도이동 1978-10번지 (1층),제주특별자치도 제주시 남광로4길 33 (이도이동),63231.0,기타,제주특별자치도,제주시,남광로4길
만운성,영업,제주특별자치도 제주시 연동 1486-2번지,제주특별자치도 제주시 과원북4길 93 (연동),63139.0,한식,제주특별자치도,제주시,과원북4길
대박집,영업,제주특별자치도 제주시 연동 1488-2번지 (1층),"제주특별자치도 제주시 국기로1길 15 (연동,(1층))",63139.0,호프/통닭,제주특별자치도,제주시,국기로1길
용연포구,영업,제주특별자치도 제주시 용담일동 405-2번지 (1층),제주특별자치도 제주시 동한두기길 37 (용담일동),63153.0,한식,제주특별자치도,제주시,동한두기길
코다리냉면,영업,제주특별자치도 제주시 일도일동 1065-1번지,"제주특별자치도 제주시 신산로 6, 2층 (일도일동)",63264.0,한식,제주특별자치도,제주시,신산로
쓰레빠,영업,제주특별자치도 제주시 연동 273-34,"제주특별자치도 제주시 신대로16길 44, 2층 (연동)",63123.0,호프/통닭,제주특별자치도,제주시,신대로16길
금안이네국수,영업,제주특별자치도 제주시 연동 261-4번지,"제주특별자치도 제주시 제원길 3, 1층 (연동)",63129.0,한식,제주특별자치도,제주시,제원길
썬더치킨제주지사1호점,영업,제주특별자치도 제주시 이도이동 1957-10 (1층),"제주특별자치도 제주시 신설로11길 31, 1층 (이도이동)",63229.0,호프/통닭,제주특별자치도,제주시,신설로11길
최씨네단골갈비,영업,제주특별자치도 제주시 용담일동 242-23번지 (1층),"제주특별자치도 제주시 용남3길 2 (용담일동,(1층))",63174.0,식육(숯불구이),제주특별자치도,제주시,용남3길
복닥키친,영업,제주특별자치도 제주시 노형동 746-7번지 (1층),"제주특별자치도 제주시 진군3길 19 (노형동,(1층))",63089.0,한식,제주특별자치도,제주시,진군3길
갑뽕,영업,제주특별자치도 제주시 이도이동 1075-1번지 102호,"제주특별자치도 제주시 오복4길 11, 102호 (이도이동)",63224.0,한식,제주특별자치도,제주시,오복4길
